,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
12,3890,Polygon,MATIC,polygon,1044,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",10000000000.0,9244522331.079987,10000000000.0,False,,13,,,,2023-11-06T14:09:00.000Z,0.7102574317818648,254710015.98828524,24.0369,-0.33296237,3.72229258,9.55899284,24.14199085,28.75051797,5.19576303,6565990688.92297,0.4931,7102574317.82,,2023-11-06T14:09:00.000Z,,,,,,2023-11-06 06:10:31.838822
13,6636,Polkadot,DOT,polkadot-new,605,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1242128326.847282,1374388828.5556335,True,,14,,,,2023-11-06T14:09:00.000Z,4.863919759929325,192724502.97729516,7.5783,-0.45639705,1.6008874,11.84390079,19.02158916,14.58326467,-2.93260481,6041612513.320446,0.4537,6684916981.04,,2023-11-06T14:09:00.000Z,,,,,,2023-11-06 06:10:31.838822
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1476,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",,163841.87097067,163841.87097067,False,,15,,,,2023-11-06T14:10:00.000Z,35106.182313068086,144246461.8387172,24.8237,-0.27502349,0.27005424,1.22765482,25.61057662,36.77672894,19.54847959,5751862592.810518,0.4327,5751862592.81,,2023-11-06T14:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-11-06 06:10:31.838822
0,1,Bitcoin,BTC,bitcoin,10520,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19534818.0,19534818.0,False,,1,,,,2023-11-06T14:09:00.000Z,35130.02293571513,13276304188.177118,26.0165,-0.08462232,0.63550122,0.90641107,25.73395445,36.97674254,19.553739,686258604385.0209,51.5406,737730481650.02,,2023-11-06T14:09:00.000Z,,,,,,2023-11-06 06:11:33.735702
1,1027,Ethereum,ETH,ethereum,7714,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120269157.95539106,120269157.95539106,True,,2,,,,2023-11-06T14:10:00.000Z,1907.6286015576143,8231574961.613721,21.5519,0.11610012,1.5924383,4.52349022,16.16174967,17.36429502,3.89148144,229428885600.95447,17.231,229428885600.95,,2023-11-06T14:10:00.000Z,,,,,,2023-11-06 06:11:33.735702
2,825,Tether USDt,USDT,tether,65153,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,85392259446.54083,88623656723.66243,True,,3,,,,2023-11-06T14:09:00.000Z,1.0006608626807265,28449256572.17565,21.1624,-0.00647005,-0.04089832,0.01862286,0.00988862,0.13553214,0.13915364,85448692004.03197,6.4255,88682224791.02,,2023-11-06T14:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-06 06:11:33.735702
3,52,XRP,XRP,xrp,1133,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53615837759.0,99988316618.0,False,,4,,,,2023-11-06T14:10:00.000Z,0.7290383499742578,2886062163.868952,89.4922,2.17194297,14.21646768,26.50359217,39.5244303,46.29487303,16.69447961,39088001892.30887,2.9357,72903834997.43,,2023-11-06T14:10:00.000Z,,,,,,2023-11-06 06:11:33.735702
4,1839,BNB,BNB,bnb,1743,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151702769.56233537,151702769.56233537,False,,5,,,,2023-11-06T14:09:00.000Z,250.6309654890598,452934903.6204655,24.9525,0.84395382,3.96239395,9.37366439,17.67661396,17.1831349,3.02537648,38021411602.77247,2.8556,38021411602.77,,2023-11-06T14:09:00.000Z,,,,,,2023-11-06 06:11:33.735702
5,3408,USDC,USDC,usd-coin,14795,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24572401087.46619,24572401087.46619,False,,6,,,,2023-11-06T14:10:00.000Z,0.9999563092770664,3536785876.2638063,31.124,-0.0063001,-0.02870761,-0.02076633,-0.01131917,-0.02285121,-0.02228165,24571327501.498463,1.8477,24571327501.5,,2023-11-06T14:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-06 06:11:33.735702
6,5426,Solana,SOL,solana,541,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,420089026.87761706,561772037.8754092,True,,7,,,,2023-11-06T14:10:00.000Z,40.38292725621296,872404151.0186023,-6.2556,0.06030064,-1.30463524,15.56892503,72.24927083,108.37178336,73.69545932,16964424613.5321,1.2757,22685999340.1,,2023-11-06T14:10:00.000Z,,,,,,2023-11-06 06:11:33.735702
